Local time,Open,High,Low,Close,Volume
31.12.2019 23:24:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 00:12:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 01:00:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 01:48:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 02:36:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 03:24:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 04:12:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 05:00:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 05:48:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 06:36:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 07:24:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 08:12:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 09:00:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 09:48:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 10:36:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 11:24:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 12:12:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 13:00:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 13:48:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 14:36:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 15:24:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 16:12:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 17:00:00.000 GMT-0500,2.7962,2.7962,2.7962,2.7962,0
01.01.2020 17:48:00.000 GMT-0500,2.8022,2.8053,2.7987,2.8046,0.09200000000000003
01.01.2020 18:36:00.000 GMT-0500,2.8041,2.8046,2.8019,2.8019,0.014300000000000002
01.01.2020 19:24:00.000 GMT-0500,2.8019,2.8188,2.8019,2.8188,0.0338
01.01.2020 20:12:00.000 GMT-0500,2.8196,2.8200,2.8140,2.8147,0.13950000000000004
01.01.2020 21:00:00.000 GMT-0500,2.8148,2.8186,2.8140,2.8177,0.03169999999999999
01.01.2020 21:48:00.000 GMT-0500,2.8175,2.8266,2.8165,2.8206,0.07560000000000006
01.01.2020 22:36:00.000 GMT-0500,2.8209,2.8212,2.8177,2.8183,0.020399999999999998
01.01.2020 23:24:00.000 GMT-0500,2.8177,2.8196,2.8175,2.8185,0.026800000000000004
02.01.2020 00:12:00.000 GMT-0500,2.8181,2.8221,2.8175,2.8219,0.07960000000000002
02.01.2020 01:00:00.000 GMT-0500,2.8222,2.8236,2.8190,2.8200,0.09330000000000006
02.01.2020 01:48:00.000 GMT-0500,2.8194,2.8208,2.8186,2.8203,0.0344
02.01.2020 02:36:00.000 GMT-0500,2.8199,2.8242,2.8119,2.8194,0.04180000000000001
02.01.2020 03:24:00.000 GMT-0500,2.8197,2.8275,2.8160,2.8203,0.03500000000000001
02.01.2020 04:12:00.000 GMT-0500,2.8204,2.8218,2.8147,2.8160,0.031
02.01.2020 05:00:00.000 GMT-0500,2.8163,2.8178,2.8143,2.8158,0.012199999999999999
02.01.2020 05:48:00.000 GMT-0500,2.8161,2.8161,2.8061,2.8071,0.028099999999999997
02.01.2020 06:36:00.000 GMT-0500,2.8077,2.8091,2.8058,2.8091,0.0302
02.01.2020 07:24:00.000 GMT-0500,2.8081,2.8116,2.8030,2.8038,0.19339999999999996
