Local time,Open,High,Low,Close,Volume
31.12.2019 23:24:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 00:12:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 01:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 01:48:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 02:36:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 03:24:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 04:12:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 05:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 05:48:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 06:36:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 07:24:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 08:12:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 09:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 09:48:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 10:36:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 11:24:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 12:12:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 13:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 13:48:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 14:36:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 15:24:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 16:12:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 17:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 17:48:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 18:36:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 19:24:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 20:12:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 21:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 21:48:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 22:36:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
01.01.2020 23:24:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
02.01.2020 00:12:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
02.01.2020 01:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
02.01.2020 01:48:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
02.01.2020 02:36:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
02.01.2020 03:24:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
02.01.2020 04:12:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
02.01.2020 05:00:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
02.01.2020 05:48:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
02.01.2020 06:36:00.000 GMT-0500,99.124,99.124,99.124,99.124,0
02.01.2020 07:24:00.000 GMT-0500,99.112,100.030,99.003,99.803,0.7225000000000001
02.01.2020 08:12:00.000 GMT-0500,99.785,100.018,99.591,99.685,1.0950000000000002
02.01.2020 09:00:00.000 GMT-0500,99.750,99.950,99.611,99.829,1.63
02.01.2020 09:48:00.000 GMT-0500,99.823,100.553,99.762,100.530,2.3125000000000004
02.01.2020 10:36:00.000 GMT-0500,100.550,100.750,99.591,99.727,2.0925000000000007
02.01.2020 11:24:00.000 GMT-0500,99.730,99.950,99.511,99.733,2.03
02.01.2020 12:12:00.000 GMT-0500,99.730,99.900,99.508,99.900,2.5475
02.01.2020 13:00:00.000 GMT-0500,100.050,100.230,99.638,100.082,2.6599999999999997
02.01.2020 13:48:00.000 GMT-0500,100.055,100.380,100.055,100.124,0.625
02.01.2020 14:36:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
02.01.2020 15:24:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
02.01.2020 16:12:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
02.01.2020 17:00:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
02.01.2020 17:48:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
02.01.2020 18:36:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
02.01.2020 19:24:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
02.01.2020 20:12:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
02.01.2020 21:00:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
02.01.2020 21:48:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
02.01.2020 22:36:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
02.01.2020 23:24:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
03.01.2020 00:12:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
03.01.2020 01:00:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
03.01.2020 01:48:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
03.01.2020 02:36:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
03.01.2020 03:24:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
03.01.2020 04:12:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
03.01.2020 05:00:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
03.01.2020 05:48:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
03.01.2020 06:36:00.000 GMT-0500,100.124,100.124,100.124,100.124,0
03.01.2020 07:24:00.000 GMT-0500,100.000,100.012,99.600,99.726,0.6200000000000001
03.01.2020 08:12:00.000 GMT-0500,99.735,99.941,99.624,99.850,1.3425000000000002
03.01.2020 09:00:00.000 GMT-0500,99.900,100.530,99.805,99.856,1.8550000000000004
03.01.2020 09:48:00.000 GMT-0500,99.903,99.903,99.153,99.412,2.0199999999999996
03.01.2020 10:36:00.000 GMT-0500,99.418,99.841,99.415,99.785,1.5150000000000003
03.01.2020 11:24:00.000 GMT-0500,99.900,99.900,99.311,99.344,1.7524999999999997
03.01.2020 12:12:00.000 GMT-0500,99.371,99.480,98.735,98.880,2.25
03.01.2020 13:00:00.000 GMT-0500,98.811,98.900,98.588,98.617,2.5000000000000004
03.01.2020 13:48:00.000 GMT-0500,98.717,98.741,98.505,98.597,0.8475
03.01.2020 14:36:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
03.01.2020 15:24:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
03.01.2020 16:12:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
03.01.2020 17:00:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
03.01.2020 17:48:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
03.01.2020 18:36:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
03.01.2020 19:24:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
03.01.2020 20:12:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
03.01.2020 21:00:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
03.01.2020 21:48:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
03.01.2020 22:36:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
03.01.2020 23:24:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 00:12:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 01:00:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 01:48:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 02:36:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 03:24:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 04:12:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 05:00:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 05:48:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 06:36:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 07:24:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 08:12:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 09:00:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 09:48:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 10:36:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 11:24:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 12:12:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 13:00:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 13:48:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 14:36:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 15:24:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 16:12:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 17:00:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 17:48:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 18:36:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 19:24:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 20:12:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 21:00:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 21:48:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 22:36:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
04.01.2020 23:24:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
05.01.2020 00:12:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
05.01.2020 01:00:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
05.01.2020 01:48:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
05.01.2020 02:36:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
05.01.2020 03:24:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
05.01.2020 04:12:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
05.01.2020 05:00:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
05.01.2020 05:48:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
05.01.2020 06:36:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
05.01.2020 07:24:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
05.01.2020 08:12:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
05.01.2020 09:00:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
05.01.2020 09:48:00.000 GMT-0500,98.597,98.597,98.597,98.597,0
