Local time,Open,High,Low,Close,Volume
31.12.2017 17:00:00.000 GMT-0500,174.467,201.187,174.297,186.050,1012.018
31.01.2018 17:00:00.000 GMT-0500,184.997,192.578,168.249,183.787,1082.2059000000002
28.02.2018 17:00:00.000 GMT-0500,184.198,192.577,169.437,170.461,511.7702
31.03.2018 17:00:00.000 GMT-0400,169.737,178.608,163.307,174.567,603.4755
30.04.2018 17:00:00.000 GMT-0400,172.138,181.758,165.188,179.688,846.8630999999997
31.05.2018 17:00:00.000 GMT-0400,180.398,187.498,179.727,184.483,687.4301000000002
30.06.2018 17:00:00.000 GMT-0400,183.987,197.467,182.697,196.700,549.0062
31.07.2018 17:00:00.000 GMT-0400,196.008,200.822,192.267,199.568,888.1421
31.08.2018 17:00:00.000 GMT-0400,198.458,210.158,194.798,207.338,824.8026999999997
30.09.2018 17:00:00.000 GMT-0400,207.688,209.308,181.257,192.713,2077.6324000000013
31.10.2018 17:00:00.000 GMT-0400,192.997,208.308,185.757,208.007,1454.2165000000011
30.11.2018 17:00:00.000 GMT-0500,207.988,208.217,178.388,194.647,1520.1143000000002
31.12.2018 17:00:00.000 GMT-0500,191.988,204.307,179.637,187.067,1660.3052000000005
31.01.2019 17:00:00.000 GMT-0500,185.987,192.168,182.647,190.077,1126.1401999999998
28.02.2019 17:00:00.000 GMT-0500,190.587,192.737,178.987,189.952,1199.3213999999998
31.03.2019 17:00:00.000 GMT-0400,190.527,196.763,174.967,179.158,1072.0568999999998
30.04.2019 17:00:00.000 GMT-0400,175.088,178.217,166.237,166.702,1599.5056
31.05.2019 17:00:00.000 GMT-0400,171.988,186.898,170.538,184.248,846.3222000000003
30.06.2019 17:00:00.000 GMT-0400,186.777,189.178,173.098,186.477,962.6373999999995
31.07.2019 17:00:00.000 GMT-0400,186.368,211.771,179.488,208.358,1059.1920000000005
31.08.2019 17:00:00.000 GMT-0400,207.317,209.308,191.607,193.447,310.0641999999999
30.09.2019 17:00:00.000 GMT-0400,192.948,213.617,188.717,213.327,384.90349999999995
31.10.2019 17:00:00.000 GMT-0400,213.997,235.777,212.797,234.737,389.13400000000007
30.11.2019 17:00:00.000 GMT-0500,234.747,244.598,230.228,240.977,372.76800000000014
31.12.2019 17:00:00.000 GMT-0500,242.498,243.738,209.997,215.848,463.9536999999999
31.01.2020 17:00:00.000 GMT-0500,216.308,234.588,194.407,199.437,500.97740000000016
29.02.2020 17:00:00.000 GMT-0500,198.998,216.287,176.648,202.447,837.9073999999997
31.03.2020 17:00:00.000 GMT-0400,196.178,244.867,194.777,238.667,446.5549
30.04.2020 17:00:00.000 GMT-0400,235.738,244.447,217.248,229.507,436.0019000000002
31.05.2020 17:00:00.000 GMT-0400,228.648,239.068,213.667,235.748,698.8830999999999
30.06.2020 17:00:00.000 GMT-0400,235.518,264.938,232.197,244.418,487.7713999999999
31.07.2020 17:00:00.000 GMT-0400,245.008,256.888,233.437,253.097,717761.3154000001
31.08.2020 17:00:00.000 GMT-0400,249.687,259.248,237.537,254.117,3345837.9725999995
30.09.2020 17:00:00.000 GMT-0400,254.467,258.487,209.998,216.888,2654452.0331000006
31.10.2020 17:00:00.000 GMT-0400,220.827,245.627,216.998,222.068,1998549.9881000004
30.11.2020 17:00:00.000 GMT-0500,224.497,232.147,220.008,229.798,1820967.0842000006
31.12.2020 17:00:00.000 GMT-0500,229.397,276.598,223.587,241.198,401283.3509
31.01.2021 17:00:00.000 GMT-0500,243.368,245.058,223.397,224.527,17401.4031
28.02.2021 17:00:00.000 GMT-0500,225.147,256.558,220.097,248.768,23781.552299999992
31.03.2021 17:00:00.000 GMT-0400,249.458,260.808,231.076,239.606,27228.8945
30.04.2021 17:00:00.000 GMT-0400,240.386,258.727,234.506,237.926,26427.614700000002
31.05.2021 17:00:00.000 GMT-0400,241.506,245.456,232.996,243.766,18079.3052
30.06.2021 17:00:00.000 GMT-0400,243.717,249.867,241.276,245.007,5047.447299999987
