Local time,Open,High,Low,Close,Volume
31.12.2017 17:00:00.000 GMT-0500,289.027,345.847,288.997,324.707,428.5430999999997
31.01.2018 17:00:00.000 GMT-0500,312.998,329.852,247.488,318.578,433.17860000000024
28.02.2018 17:00:00.000 GMT-0500,317.148,343.907,308.648,323.057,262.08009999999996
31.03.2018 17:00:00.000 GMT-0400,320.297,432.897,307.608,423.438,385.68339999999995
30.04.2018 17:00:00.000 GMT-0400,422.297,447.488,415.207,430.265,326.6921
31.05.2018 17:00:00.000 GMT-0400,431.187,474.177,415.007,431.288,322.0915
30.06.2018 17:00:00.000 GMT-0400,424.988,482.808,423.777,433.318,244.0817
31.07.2018 17:00:00.000 GMT-0400,433.938,530.258,428.997,475.037,315.5991999999999
31.08.2018 17:00:00.000 GMT-0400,471.388,497.398,453.617,454.358,171.93289999999996
30.09.2018 17:00:00.000 GMT-0400,445.188,470.108,411.478,460.268,600.1186999999999
31.10.2018 17:00:00.000 GMT-0400,460.277,500.297,454.497,473.077,505.3594000000002
30.11.2018 17:00:00.000 GMT-0500,475.988,482.927,382.367,431.768,423.6775000000001
31.12.2018 17:00:00.000 GMT-0500,425.567,543.627,422.827,529.218,549.3611000000001
31.01.2019 17:00:00.000 GMT-0500,529.987,612.487,519.077,607.277,482.17199999999985
28.02.2019 17:00:00.000 GMT-0500,609.347,711.338,603.977,710.388,548.4756000000001
31.03.2019 17:00:00.000 GMT-0400,712.988,720.958,657.977,687.787,639.2167999999997
30.04.2019 17:00:00.000 GMT-0400,685.488,726.518,655.128,659.748,298.64280000000014
31.05.2019 17:00:00.000 GMT-0400,653.648,748.528,636.737,732.027,198.21750000000003
30.06.2019 17:00:00.000 GMT-0400,735.988,811.518,717.233,794.978,233.64659999999998
31.07.2019 17:00:00.000 GMT-0400,793.938,847.567,770.157,837.987,356.0941
31.08.2019 17:00:00.000 GMT-0400,833.118,857.568,779.387,840.547,104.34620000000002
30.09.2019 17:00:00.000 GMT-0400,843.168,855.217,756.008,777.737,179.40609999999984
31.10.2019 17:00:00.000 GMT-0400,779.147,824.818,727.257,814.128,177.82119999999992
30.11.2019 17:00:00.000 GMT-0500,808.508,842.087,795.347,836.807,154.34840000000003
31.12.2019 17:00:00.000 GMT-0500,841.998,887.388,839.628,866.308,177.68899999999996
31.01.2020 17:00:00.000 GMT-0500,867.438,940.047,701.137,773.638,220.6614
29.02.2020 17:00:00.000 GMT-0500,779.447,780.508,411.637,656.787,295.71270000000004
31.03.2020 17:00:00.000 GMT-0400,624.457,908.497,598.537,878.208,177.1033
30.04.2020 17:00:00.000 GMT-0400,860.737,1084.658,855.197,1003.358,158.04910000000007
31.05.2020 17:00:00.000 GMT-0400,1009.997,1071.558,960.827,1051.917,162.549
30.06.2020 17:00:00.000 GMT-0400,1047.998,1185.068,1046.067,1153.418,158.38649999999998
31.07.2020 17:00:00.000 GMT-0400,1151.978,1324.745,1132.787,1308.627,247285.2281
31.08.2020 17:00:00.000 GMT-0400,1320.507,1382.287,1179.997,1239.948,877928.3886000004
30.09.2020 17:00:00.000 GMT-0400,1249.998,1362.937,1190.038,1199.507,834577.0486000007
31.10.2020 17:00:00.000 GMT-0400,1205.898,1345.288,1171.877,1288.397,698912.0073999998
30.11.2020 17:00:00.000 GMT-0500,1289.807,1433.297,1274.367,1386.028,792879.9932000001
31.12.2020 17:00:00.000 GMT-0500,1384.987,1509.018,1311.457,1479.227,165655.87689999997
31.01.2021 17:00:00.000 GMT-0500,1491.358,1563.138,1354.997,1447.508,7605.625999999998
28.02.2021 17:00:00.000 GMT-0500,1451.098,1510.158,1257.987,1420.807,9055.026000000003
31.03.2021 17:00:00.000 GMT-0400,1432.638,1577.418,1431.647,1492.076,7573.650000000001
30.04.2021 17:00:00.000 GMT-0400,1495.916,1496.256,1294.387,1370.917,9318.477999999997
31.05.2021 17:00:00.000 GMT-0400,1373.706,1556.176,1318.336,1548.917,9484.399999999998
30.06.2021 17:00:00.000 GMT-0400,1544.006,1597.007,1522.996,1591.706,2393.025
