Local time,Open,High,Low,Close,Volume
31.12.2017 17:00:00.000 GMT-0500,38.528,42.968,38.427,41.567,1760.5865999999999
31.01.2018 17:00:00.000 GMT-0500,41.037,45.878,37.338,44.778,3579.753799999999
28.02.2018 17:00:00.000 GMT-0500,44.657,46.148,41.577,42.718,241.37189999999998
31.03.2018 17:00:00.000 GMT-0400,42.528,45.318,40.147,44.268,916.3136000000001
30.04.2018 17:00:00.000 GMT-0400,43.897,46.328,42.497,42.717,2425.7855999999997
31.05.2018 17:00:00.000 GMT-0400,42.887,44.787,41.787,43.017,4774.837000000003
30.06.2018 17:00:00.000 GMT-0400,42.528,43.808,40.918,42.267,4756.7562
31.07.2018 17:00:00.000 GMT-0400,41.987,47.808,41.287,47.738,1328.1761000000001
31.08.2018 17:00:00.000 GMT-0400,47.967,49.027,46.418,48.648,684.2441000000001
30.09.2018 17:00:00.000 GMT-0400,48.687,49.448,42.927,45.718,1386.8776
31.10.2018 17:00:00.000 GMT-0400,45.598,48.418,44.127,47.848,1246.3511000000005
30.11.2018 17:00:00.000 GMT-0500,48.327,49.118,40.237,43.367,1307.5753999999995
31.12.2018 17:00:00.000 GMT-0500,42.268,47.358,40.940,47.257,5993.305799999999
31.01.2019 17:00:00.000 GMT-0500,47.297,51.938,46.337,51.768,1661.1284
28.02.2019 17:00:00.000 GMT-0500,51.947,54.208,50.547,53.977,2497.2205
31.03.2019 17:00:00.000 GMT-0400,54.377,57.508,54.377,55.928,3282.715399999998
30.04.2019 17:00:00.000 GMT-0400,55.967,56.818,51.067,52.013,4591.6531
31.05.2019 17:00:00.000 GMT-0400,52.077,58.128,51.477,54.607,4121.9031
30.06.2019 17:00:00.000 GMT-0400,54.987,58.228,54.207,55.397,2923.395200000002
31.07.2019 17:00:00.000 GMT-0400,55.188,56.868,45.987,46.748,3800.4667999999992
31.08.2019 17:00:00.000 GMT-0400,46.408,50.288,46.197,49.417,1014.9123000000001
30.09.2019 17:00:00.000 GMT-0400,49.548,49.848,45.547,47.507,1178.1619999999998
31.10.2019 17:00:00.000 GMT-0400,46.807,48.968,44.438,44.697,674.0462999999999
30.11.2019 17:00:00.000 GMT-0500,44.997,48.358,43.218,47.947,628.6463000000002
31.12.2019 17:00:00.000 GMT-0500,47.178,49.528,45.837,45.948,866.1223999999994
31.01.2020 17:00:00.000 GMT-0500,46.258,50.268,38.198,39.878,1095.1120000000003
29.02.2020 17:00:00.000 GMT-0500,40.228,41.878,32.327,39.277,2858.5604000000003
31.03.2020 17:00:00.000 GMT-0400,37.758,43.618,37.458,42.317,1708.7025999999996
30.04.2020 17:00:00.000 GMT-0400,41.617,47.798,40.477,47.578,1318.5358999999996
31.05.2020 17:00:00.000 GMT-0400,47.088,48.287,43.627,46.647,1437.1418999999996
30.06.2020 17:00:00.000 GMT-0400,46.528,47.688,44.887,47.068,1273.7599000000007
31.07.2020 17:00:00.000 GMT-0400,47.028,48.438,41.448,42.197,343188.8134999999
31.08.2020 17:00:00.000 GMT-0400,41.997,42.677,37.597,39.347,1620424.8022999999
30.09.2020 17:00:00.000 GMT-0400,39.028,40.597,35.277,35.908,1327150.6641
31.10.2020 17:00:00.000 GMT-0400,36.137,43.017,35.647,42.998,1317331.9084000005
30.11.2020 17:00:00.000 GMT-0500,42.998,45.558,42.997,44.747,1116921.5824999998
31.12.2020 17:00:00.000 GMT-0500,44.218,46.448,43.257,44.567,358143.26189999975
31.01.2021 17:00:00.000 GMT-0500,44.497,49.328,44.497,44.848,15395.352999999997
28.02.2021 17:00:00.000 GMT-0500,45.138,52.927,44.138,51.677,17865.956000000006
31.03.2021 17:00:00.000 GMT-0400,51.498,53.168,50.396,50.927,10057.6681
30.04.2021 17:00:00.000 GMT-0400,51.057,54.126,50.076,52.887,14480.907299999995
31.05.2021 17:00:00.000 GMT-0400,52.847,55.337,51.877,52.987,9141.054800000004
30.06.2021 17:00:00.000 GMT-0400,52.706,53.917,52.336,53.726,2889.718799999988
