Local time,Open,High,Low,Close,Volume
31.12.2017 17:00:00.000 GMT-0500,92.998,105.788,92.998,103.098,590.5747000000003
31.01.2018 17:00:00.000 GMT-0500,102.197,102.967,92.737,94.577,755.1529999999998
28.02.2018 17:00:00.000 GMT-0500,94.487,96.168,85.497,93.498,448.79089999999997
31.03.2018 17:00:00.000 GMT-0400,93.028,101.108,91.928,96.507,382.09779999999995
30.04.2018 17:00:00.000 GMT-0400,95.988,98.578,86.838,87.458,621.1797999999999
31.05.2018 17:00:00.000 GMT-0400,87.238,100.788,87.237,98.578,675.1890000000003
30.06.2018 17:00:00.000 GMT-0400,98.477,100.498,97.047,98.138,484.7564
31.07.2018 17:00:00.000 GMT-0400,97.987,108.988,96.238,107.678,517.2244999999998
31.08.2018 17:00:00.000 GMT-0400,109.028,112.578,107.028,109.257,546.7010000000001
30.09.2018 17:00:00.000 GMT-0400,109.117,113.428,101.887,111.338,412.2705000000002
31.10.2018 17:00:00.000 GMT-0400,111.417,118.418,103.617,110.947,229.37180000000012
30.11.2018 17:00:00.000 GMT-0500,112.098,112.667,97.997,108.078,251.86669999999998
31.12.2018 17:00:00.000 GMT-0500,105.987,117.127,105.987,115.408,1116.4825999999998
31.01.2019 17:00:00.000 GMT-0500,114.967,120.067,113.397,118.438,196.39890000000003
28.02.2019 17:00:00.000 GMT-0500,119.117,121.247,108.727,119.268,722.0870000000002
31.03.2019 17:00:00.000 GMT-0400,119.247,126.797,116.747,126.079,511.2424
30.04.2019 17:00:00.000 GMT-0400,125.948,128.018,116.087,127.247,597.8366999999998
31.05.2019 17:00:00.000 GMT-0400,127.718,139.668,127.718,135.111,627.3325999999998
30.06.2019 17:00:00.000 GMT-0400,135.988,145.038,132.541,133.978,610.2852999999998
31.07.2019 17:00:00.000 GMT-0400,134.008,158.798,130.977,156.127,589.9871999999998
31.08.2019 17:00:00.000 GMT-0400,155.348,162.277,152.317,158.858,186.26089999999996
30.09.2019 17:00:00.000 GMT-0400,159.048,166.487,155.217,160.308,220.53779999999998
31.10.2019 17:00:00.000 GMT-0400,160.598,162.018,154.527,157.378,211.14509999999999
30.11.2019 17:00:00.000 GMT-0500,157.758,158.248,151.998,155.908,271.4015
31.12.2019 17:00:00.000 GMT-0500,156.718,160.368,150.768,153.278,242.8225
31.01.2020 17:00:00.000 GMT-0500,153.388,166.948,147.077,150.167,294.2224
29.02.2020 17:00:00.000 GMT-0500,149.848,167.348,126.737,150.887,526.3170000000001
31.03.2020 17:00:00.000 GMT-0400,149.008,183.867,149.008,175.038,426.1089999999998
30.04.2020 17:00:00.000 GMT-0400,173.638,192.708,172.257,191.498,360.82460000000015
31.05.2020 17:00:00.000 GMT-0400,190.718,194.797,181.148,190.388,617.0222999999996
30.06.2020 17:00:00.000 GMT-0400,189.607,195.748,185.417,190.327,489.5996
31.07.2020 17:00:00.000 GMT-0400,190.967,206.658,190.237,201.657,806.1937
31.08.2020 17:00:00.000 GMT-0400,201.457,211.877,190.487,209.287,2374.259499999999
30.09.2020 17:00:00.000 GMT-0400,211.327,224.698,206.057,208.607,1692.2975999999996
31.10.2020 17:00:00.000 GMT-0400,209.027,222.737,205.907,218.278,1735.1286999999995
30.11.2020 17:00:00.000 GMT-0500,218.707,221.547,205.267,210.248,1642.0858000000005
31.12.2020 17:00:00.000 GMT-0500,210.198,219.458,194.307,194.607,1909.782800000002
31.01.2021 17:00:00.000 GMT-0500,195.097,205.677,186.778,188.718,1987.7712
28.02.2021 17:00:00.000 GMT-0500,189.188,205.218,173.397,202.537,2482.8867
31.03.2021 17:00:00.000 GMT-0400,201.738,219.797,200.798,214.736,1815.8453000000002
30.04.2021 17:00:00.000 GMT-0400,215.406,222.487,195.616,202.977,2420.0051999999996
31.05.2021 17:00:00.000 GMT-0400,202.167,219.036,199.996,216.266,1804.8358000000007
30.06.2021 17:00:00.000 GMT-0400,215.997,223.087,215.986,220.506,451.05280000000056
