Local time,Open,High,Low,Close,Volume
31.12.2017 22:00:00.000 GMT-0000,57.828,61.928,56.547,56.817,1155.4976000000006
31.01.2018 22:00:00.000 GMT-0000,56.268,57.908,53.547,57.097,1256.0603000000003
28.02.2018 22:00:00.000 GMT-0000,56.898,60.688,55.677,57.877,377.5914999999999
31.03.2018 21:00:00.000 GMT-0000,57.528,60.158,55.368,57.548,440.1489999999999
30.04.2018 21:00:00.000 GMT-0000,57.637,58.978,55.518,56.648,855.4014
31.05.2018 21:00:00.000 GMT-0000,56.808,57.918,47.348,48.858,1341.0967000000003
30.06.2018 21:00:00.000 GMT-0000,48.598,52.828,48.388,52.388,681.7564000000002
31.07.2018 21:00:00.000 GMT-0000,52.187,54.418,51.178,53.427,475.4054999999999
31.08.2018 21:00:00.000 GMT-0000,53.467,57.818,53.267,56.818,900.4139000000001
30.09.2018 21:00:00.000 GMT-0000,56.608,59.668,54.677,58.237,6212.988299999997
31.10.2018 21:00:00.000 GMT-0000,58.288,68.958,58.038,66.727,4421.477199999997
30.11.2018 22:00:00.000 GMT-0000,67.388,68.118,60.398,64.408,2695.1933999999997
31.12.2018 22:00:00.000 GMT-0000,63.538,69.467,61.382,68.238,2503.5574999999994
31.01.2019 22:00:00.000 GMT-0000,68.528,72.038,67.067,70.257,1641.0117
28.02.2019 22:00:00.000 GMT-0000,70.877,74.468,69.007,74.332,1912.1448999999998
31.03.2019 21:00:00.000 GMT-0000,74.737,77.768,73.717,77.647,1617.1539999999995
30.04.2019 21:00:00.000 GMT-0000,77.628,79.638,74.318,76.047,2432.8987999999995
31.05.2019 21:00:00.000 GMT-0000,76.108,85.187,75.627,83.821,1691.6105000000007
30.06.2019 21:00:00.000 GMT-0000,84.610,99.708,84.017,94.657,1637.2422000000001
31.07.2019 21:00:00.000 GMT-0000,94.797,98.059,93.017,96.487,1689.6013999999996
31.08.2019 21:00:00.000 GMT-0000,96.257,97.198,87.588,88.407,485.1298999999999
30.09.2019 21:00:00.000 GMT-0000,88.418,88.878,82.117,84.497,504.13510000000014
31.10.2019 21:00:00.000 GMT-0000,84.757,86.698,81.018,85.418,466.64129999999994
30.11.2019 22:00:00.000 GMT-0000,85.317,89.238,83.808,87.908,531.3627999999999
31.12.2019 22:00:00.000 GMT-0000,88.118,94.108,84.498,84.837,704.1338999999998
31.01.2020 22:00:00.000 GMT-0000,85.068,90.488,75.718,78.377,953.6949999999999
29.02.2020 22:00:00.000 GMT-0000,77.847,82.608,50.017,65.758,2157.5298000000007
31.03.2020 21:00:00.000 GMT-0000,62.987,79.548,60.868,76.678,1651.0834
30.04.2020 21:00:00.000 GMT-0000,74.888,80.058,70.637,77.898,1549.5779
31.05.2020 21:00:00.000 GMT-0000,77.498,83.608,71.047,73.597,1883.2182
30.06.2020 21:00:00.000 GMT-0000,73.828,78.478,71.797,76.517,1303.5137999999995
31.07.2020 21:00:00.000 GMT-0000,76.487,85.338,74.747,84.448,2167.8753
31.08.2020 21:00:00.000 GMT-0000,84.697,89.418,81.707,85.838,9943.677300000001
30.09.2020 21:00:00.000 GMT-0000,86.698,91.107,85.057,86.928,7033.138399999997
31.10.2020 21:00:00.000 GMT-0000,87.507,99.318,85.437,98.018,6331.844500000001
30.11.2020 22:00:00.000 GMT-0000,98.698,107.128,98.197,106.958,5106.253399999998
31.12.2020 22:00:00.000 GMT-0000,107.487,107.487,95.907,96.807,4165.103499999999
31.01.2021 22:00:00.000 GMT-0000,96.998,109.438,96.907,107.938,3520.782
28.02.2021 22:00:00.000 GMT-0000,108.595,112.268,102.707,109.197,4919.758100000001
31.03.2021 21:00:00.000 GMT-0000,109.718,118.968,108.167,114.476,4587.175700000001
30.04.2021 21:00:00.000 GMT-0000,114.857,116.717,108.856,113.876,6323.693800000005
31.05.2021 21:00:00.000 GMT-0000,114.226,114.516,109.266,111.767,3824.925299999999
30.06.2021 21:00:00.000 GMT-0000,111.937,117.756,111.786,117.427,1057.2948999999992
