Local time,Open,High,Low,Close,Volume
31.12.2017 22:00:00.000 GMT-0000,24.018,26.638,22.038,25.807,1296.6082
31.01.2018 22:00:00.000 GMT-0000,25.418,34.988,24.127,31.847,2282.269000000001
28.02.2018 22:00:00.000 GMT-0000,31.908,36.788,27.387,28.988,770.5894
31.03.2018 21:00:00.000 GMT-0000,28.228,33.098,26.597,30.297,836.4118000000002
30.04.2018 21:00:00.000 GMT-0000,30.167,34.948,29.588,34.678,1534.7837000000002
31.05.2018 21:00:00.000 GMT-0000,35.118,47.768,35.107,43.668,1529.3820000000005
30.06.2018 21:00:00.000 GMT-0000,42.967,46.848,31.047,31.818,1343.4484000000002
31.07.2018 21:00:00.000 GMT-0000,32.217,36.128,31.318,35.177,1553.7542000000003
31.08.2018 21:00:00.000 GMT-0000,34.828,35.108,27.918,28.448,1318.9496000000001
30.09.2018 21:00:00.000 GMT-0000,28.497,35.617,26.168,34.728,2520.5052000000005
31.10.2018 21:00:00.000 GMT-0000,34.547,35.308,29.857,31.437,2120.831399999999
30.11.2018 22:00:00.000 GMT-0000,32.258,37.109,26.247,28.710,5945.8519
31.12.2018 22:00:00.000 GMT-0000,28.087,33.868,27.847,33.522,4822.511400000002
31.01.2019 22:00:00.000 GMT-0000,33.571,35.227,29.407,30.767,2107.6805
28.02.2019 22:00:00.000 GMT-0000,31.078,34.188,29.387,32.858,2805.3222
31.03.2019 21:00:00.000 GMT-0000,33.017,40.900,32.688,39.889,2782.3572999999997
30.04.2019 21:00:00.000 GMT-0000,39.997,40.798,36.297,36.421,3407.9147999999964
31.05.2019 21:00:00.000 GMT-0000,36.417,38.608,34.027,34.883,2598.6415999999995
30.06.2019 21:00:00.000 GMT-0000,35.488,43.218,35.207,42.301,2656.4411
31.07.2019 21:00:00.000 GMT-0000,42.487,43.458,39.598,42.637,2787.176199999998
31.08.2019 21:00:00.000 GMT-0000,42.317,45.848,40.607,41.178,523.2137999999999
30.09.2019 21:00:00.000 GMT-0000,41.308,41.548,28.827,29.968,752.8230000000001
31.10.2019 21:00:00.000 GMT-0000,29.847,31.348,28.498,30.688,488.5592
30.11.2019 22:00:00.000 GMT-0000,30.658,32.878,29.468,32.048,497.2428000000001
31.12.2019 22:00:00.000 GMT-0000,32.137,34.527,30.987,32.468,526.3829999999998
31.01.2020 22:00:00.000 GMT-0000,32.388,39.628,31.438,33.178,694.2603
29.02.2020 22:00:00.000 GMT-0000,35.348,36.788,19.997,24.558,1529.7659999999996
31.03.2020 21:00:00.000 GMT-0000,23.238,31.488,22.357,28.678,937.4893999999997
30.04.2020 21:00:00.000 GMT-0000,27.807,34.258,27.087,30.978,1073.6054000000001
31.05.2020 21:00:00.000 GMT-0000,30.998,36.937,28.147,29.798,1657.1850000000004
30.06.2020 21:00:00.000 GMT-0000,30.148,40.238,30.037,36.377,1465.6122000000007
31.07.2020 21:00:00.000 GMT-0000,36.377,41.317,35.637,40.547,2123.0951
31.08.2020 21:00:00.000 GMT-0000,40.497,46.798,38.027,44.488,6663.8915
30.09.2020 21:00:00.000 GMT-0000,44.687,52.918,40.828,41.347,5571.613500000002
31.10.2020 21:00:00.000 GMT-0000,41.118,46.988,38.917,46.497,3532.8783999999996
30.11.2020 22:00:00.000 GMT-0000,46.607,56.087,45.777,54.127,3874.9693999999995
31.12.2020 22:00:00.000 GMT-0000,54.378,55.468,44.397,50.568,5600.760299999999
31.01.2021 22:00:00.000 GMT-0000,51.077,80.658,50.358,76.997,7875.6278
28.02.2021 22:00:00.000 GMT-0000,77.698,78.628,59.237,63.618,10452.272900000004
31.03.2021 21:00:00.000 GMT-0000,64.647,73.198,54.996,54.997,8361.946
30.04.2021 21:00:00.000 GMT-0000,55.297,58.607,48.496,57.997,7636.722799999992
31.05.2021 21:00:00.000 GMT-0000,58.046,69.376,55.816,68.766,6144.593200000001
30.06.2021 21:00:00.000 GMT-0000,68.516,70.917,66.216,68.946,1716.0405
