Local time,Open,High,Low,Close,Volume
31.12.2017 22:00:00.000 GMT-0000,99.298,109.968,98.518,106.628,1864.0841999999998
31.01.2018 22:00:00.000 GMT-0000,105.498,106.548,89.977,89.977,1950.1683
28.02.2018 22:00:00.000 GMT-0000,90.058,90.448,85.277,88.947,786.3801000000008
31.03.2018 21:00:00.000 GMT-0000,87.928,89.638,84.827,88.457,790.9514999999998
30.04.2018 21:00:00.000 GMT-0000,87.657,88.078,81.767,82.537,1430.2203000000004
31.05.2018 21:00:00.000 GMT-0000,83.008,87.468,82.357,85.637,1250.7566000000002
30.06.2018 21:00:00.000 GMT-0000,85.008,89.638,83.387,89.198,1010.3086999999999
31.07.2018 21:00:00.000 GMT-0000,88.808,100.168,87.597,95.798,1416.8915999999997
31.08.2018 21:00:00.000 GMT-0000,96.117,97.627,93.648,93.937,1015.4703
30.09.2018 21:00:00.000 GMT-0000,94.187,102.578,92.598,100.238,2677.0021000000006
31.10.2018 21:00:00.000 GMT-0000,99.717,106.197,93.287,97.548,1856.8525000000004
30.11.2018 22:00:00.000 GMT-0000,97.668,99.548,85.767,93.117,3464.7566999999985
31.12.2018 22:00:00.000 GMT-0000,91.287,99.317,91.287,96.011,2072.2801
31.01.2019 22:00:00.000 GMT-0000,95.887,104.118,93.087,98.938,1783.9654999999996
28.02.2019 22:00:00.000 GMT-0000,99.297,100.458,96.507,97.502,1916.607900000001
31.03.2019 21:00:00.000 GMT-0000,97.928,104.128,96.768,102.790,1675.6615999999997
30.04.2019 21:00:00.000 GMT-0000,102.217,103.938,98.828,101.409,1936.2329999999995
31.05.2019 21:00:00.000 GMT-0000,100.907,112.198,100.907,110.433,1559.3293999999996
30.06.2019 21:00:00.000 GMT-0000,111.238,115.399,109.618,110.362,1428.0226000000007
31.07.2019 21:00:00.000 GMT-0000,110.148,115.320,104.788,114.177,2294.5732000000007
31.08.2019 21:00:00.000 GMT-0000,113.607,119.838,113.527,118.687,532.2711999999996
30.09.2019 21:00:00.000 GMT-0000,118.028,120.708,114.537,117.248,488.3490999999998
31.10.2019 21:00:00.000 GMT-0000,117.558,125.357,117.007,119.137,439.13950000000006
30.11.2019 22:00:00.000 GMT-0000,118.417,121.688,117.397,118.798,493.95430000000016
31.12.2019 22:00:00.000 GMT-0000,118.878,119.668,112.607,114.447,710.2717
31.01.2020 22:00:00.000 GMT-0000,113.938,119.897,104.338,107.557,821.8043999999999
29.02.2020 22:00:00.000 GMT-0000,106.057,128.028,101.997,113.498,2332.919500000001
31.03.2020 21:00:00.000 GMT-0000,112.077,133.347,111.617,121.458,1445.1508
30.04.2020 21:00:00.000 GMT-0000,120.998,131.910,120.698,123.938,961.9315999999999
31.05.2020 21:00:00.000 GMT-0000,122.998,124.398,116.997,119.677,1209.9608
30.06.2020 21:00:00.000 GMT-0000,119.288,134.118,118.197,129.388,834.0337999999999
31.07.2020 21:00:00.000 GMT-0000,129.408,141.058,128.257,138.447,1774.5356
31.08.2020 21:00:00.000 GMT-0000,140.997,151.277,134.498,139.738,5820.910999999996
30.09.2020 21:00:00.000 GMT-0000,139.787,146.598,137.297,138.767,4175.0716
31.10.2020 21:00:00.000 GMT-0000,140.198,153.378,138.997,152.867,3730.7197999999985
30.11.2020 22:00:00.000 GMT-0000,152.028,153.227,142.288,143.978,3373.3178000000003
31.12.2020 22:00:00.000 GMT-0000,144.188,149.917,140.387,140.428,3346.8524999999995
31.01.2021 22:00:00.000 GMT-0000,140.568,147.267,129.827,129.828,4731.4231
28.02.2021 22:00:00.000 GMT-0000,131.658,137.577,126.258,135.847,7480.423800000001
31.03.2021 21:00:00.000 GMT-0000,135.815,141.758,135.087,139.926,4064.3570000000004
30.04.2021 21:00:00.000 GMT-0000,139.567,144.566,135.706,142.036,4471.253499999999
31.05.2021 21:00:00.000 GMT-0000,141.916,142.747,134.386,140.986,3300.436900000001
30.06.2021 21:00:00.000 GMT-0000,139.797,141.226,138.216,140.226,1166.4347000000023
